time,OD,CarbonSource
18.4516666666667,0.2945,Glycerol
18.5455555555556,0.2955,Glycerol
18.64,0.2955,Glycerol
18.7341666666667,0.2955,Glycerol
18.8283333333333,0.2955,Glycerol
18.9225,0.2965,Glycerol
19.0166666666667,0.2965,Glycerol
19.1108333333333,0.2975,Glycerol
19.205,0.2975,Glycerol
19.2991666666667,0.2985,Glycerol
19.3933333333333,0.2985,Glycerol
19.4875,0.299,Glycerol
19.5816666666667,0.2995,Glycerol
19.6758333333333,0.2995,Glycerol
19.77,0.3,Glycerol
19.8641666666667,0.3005,Glycerol
19.9583333333333,0.301,Glycerol
20.0525,0.301,Glycerol
20.1466666666667,0.302,Glycerol
20.2408333333333,0.3025,Glycerol
20.335,0.303,Glycerol
20.4291666666667,0.303,Glycerol
20.5233333333333,0.304,Glycerol
20.6175,0.304,Glycerol
20.7116666666667,0.304,Glycerol
20.8058333333333,0.305,Glycerol
20.9,0.305,Glycerol
20.9941666666667,0.305,Glycerol
21.0883333333333,0.3055,Glycerol
21.1825,0.306,Glycerol
21.2766666666667,0.3065,Glycerol
21.3708333333333,0.307,Glycerol
21.465,0.307,Glycerol
21.5591666666667,0.3075,Glycerol
21.6533333333333,0.3075,Glycerol
21.7475,0.308,Glycerol
21.8416666666667,0.3085,Glycerol
21.9358333333333,0.309,Glycerol
22.03,0.309,Glycerol
22.1241666666667,0.309,Glycerol
22.2183333333333,0.31,Glycerol
22.3125,0.31,Glycerol
22.4069444444444,0.3105,Glycerol
22.5011111111111,0.3105,Glycerol
22.5952777777778,0.311,Glycerol
22.6894444444444,0.3105,Glycerol
22.7836111111111,0.3115,Glycerol
22.8777777777778,0.3115,Glycerol
22.9719444444444,0.3115,Glycerol
23.0661111111111,0.3115,Glycerol
23.1602777777778,0.3125,Glycerol
23.2544444444444,0.312,Glycerol
23.3486111111111,0.3125,Glycerol
23.4427777777778,0.3125,Glycerol
23.5369444444444,0.313,Glycerol
23.6311111111111,0.313,Glycerol
23.7252777777778,0.313,Glycerol
23.8194444444444,0.313,Glycerol
23.9136111111111,0.3135,Glycerol
24.0077777777778,0.3135,Glycerol
24.1019444444444,0.314,Glycerol
24.1961111111111,0.314,Glycerol
24.2902777777778,0.3135,Glycerol
24.3844444444444,0.3145,Glycerol
24.4786111111111,0.315,Glycerol
24.5727777777778,0.315,Glycerol
24.6669444444444,0.3145,Glycerol
24.7611111111111,0.3145,Glycerol
24.8552777777778,0.316,Glycerol
24.9494444444444,0.3155,Glycerol
25.0436111111111,0.315,Glycerol
25.1377777777778,0.3155,Glycerol
25.2319444444444,0.316,Glycerol
25.3261111111111,0.3155,Glycerol
25.4202777777778,0.316,Glycerol
25.5144444444444,0.316,Glycerol
25.6086111111111,0.316,Glycerol
25.7027777777778,0.3165,Glycerol
25.7969444444444,0.3165,Glycerol
25.8911111111111,0.3165,Glycerol
25.9852777777778,0.316,Glycerol
26.0794444444444,0.317,Glycerol
26.1738888888889,0.317,Glycerol
26.2680555555556,0.317,Glycerol
26.3619444444444,0.317,Glycerol
26.4561111111111,0.3175,Glycerol
26.5502777777778,0.3175,Glycerol
26.6444444444444,0.3175,Glycerol
26.7386111111111,0.318,Glycerol
26.8330555555556,0.318,Glycerol
26.9272222222222,0.318,Glycerol
27.0213888888889,0.3185,Glycerol
27.1155555555556,0.318,Glycerol
27.2097222222222,0.318,Glycerol
27.3038888888889,0.3185,Glycerol
27.3980555555556,0.319,Glycerol
27.4922222222222,0.318,Glycerol
27.5863888888889,0.319,Glycerol
27.6805555555556,0.319,Glycerol
27.7747222222222,0.319,Glycerol
27.8688888888889,0.319,Glycerol
27.9630555555556,0.3195,Glycerol
28.0572222222222,0.32,Glycerol
28.1513888888889,0.3195,Glycerol
28.2455555555556,0.32,Glycerol
28.3397222222222,0.3195,Glycerol
28.4338888888889,0.3195,Glycerol
28.5280555555556,0.32,Glycerol
28.6222222222222,0.32,Glycerol
28.7163888888889,0.32,Glycerol
28.8105555555556,0.3205,Glycerol
28.9047222222222,0.3205,Glycerol
28.9988888888889,0.3205,Glycerol
29.0930555555556,0.321,Glycerol
29.1872222222222,0.3205,Glycerol
29.2813888888889,0.321,Glycerol
29.3755555555556,0.321,Glycerol
29.4697222222222,0.321,Glycerol
29.5638888888889,0.3215,Glycerol
29.6580555555556,0.3215,Glycerol
29.7522222222222,0.321,Glycerol
29.8463888888889,0.3215,Glycerol
29.9405555555556,0.3215,Glycerol
30.0347222222222,0.3215,Glycerol
30.1288888888889,0.322,Glycerol
30.2230555555556,0.3215,Glycerol
30.3172222222222,0.322,Glycerol
30.4113888888889,0.322,Glycerol
30.5055555555556,0.3225,Glycerol
30.5997222222222,0.3225,Glycerol
30.6938888888889,0.322,Glycerol
